Implementation;Method;listSize;Score;Score Error;Allocation Rate
CAPSULE_TRIE_MAP;getCollision;1;18,315;0,292;0
CAPSULE_TRIE_MAP;getCollision;4;64,394;1,792;16
CAPSULE_TRIE_MAP;getCollision;10;70,382;0,566;16
CAPSULE_TRIE_MAP;getCollision;15;72,254;0,846;16
CAPSULE_TRIE_MAP;getCollision;20;78,366;3,422;16
CAPSULE_TRIE_MAP;getCollision;25;61,085;0,317;16
CAPSULE_TRIE_MAP;getCollision;50;72,733;1,512;16
CAPSULE_TRIE_MAP;getCollision;100;69,797;0,459;16
CAPSULE_TRIE_MAP;getCollision;1000;85,339;0,924;16
CAPSULE_TRIE_MAP;getCollision;10000;144,193;0,881;16
CAPSULE_TRIE_MAP;getCollision;100000;164,794;12,116;16
CAPSULE_TRIE_MAP;getCollision;1000000;418,966;132,263;16,001
CAPSULE_TRIE_MAP;getDistinct;1;18,18;0,135;0
CAPSULE_TRIE_MAP;getDistinct;4;15,03;0,224;0
CAPSULE_TRIE_MAP;getDistinct;10;14,514;0,254;0
CAPSULE_TRIE_MAP;getDistinct;15;14,525;0,849;0
CAPSULE_TRIE_MAP;getDistinct;20;14,131;0,021;0
CAPSULE_TRIE_MAP;getDistinct;25;14,452;0,422;0
CAPSULE_TRIE_MAP;getDistinct;50;23,693;0,094;16
CAPSULE_TRIE_MAP;getDistinct;100;25,265;0,114;16
CAPSULE_TRIE_MAP;getDistinct;1000;30,292;0,444;16
CAPSULE_TRIE_MAP;getDistinct;10000;57,346;0,636;16
CAPSULE_TRIE_MAP;getDistinct;100000;88,731;4,353;16
CAPSULE_TRIE_MAP;getDistinct;1000000;136,124;37,857;16
CAPSULE_TRIE_MAP;getNonExisting;1;13,121;0,047;0
CAPSULE_TRIE_MAP;getNonExisting;4;10,004;0,256;0
CAPSULE_TRIE_MAP;getNonExisting;10;9,96;0,104;0
CAPSULE_TRIE_MAP;getNonExisting;15;9,894;0,228;0
CAPSULE_TRIE_MAP;getNonExisting;20;11,783;0,104;0
CAPSULE_TRIE_MAP;getNonExisting;25;12,828;0,745;0
CAPSULE_TRIE_MAP;getNonExisting;50;12,81;0,058;0
CAPSULE_TRIE_MAP;getNonExisting;100;14,359;0,292;0
CAPSULE_TRIE_MAP;getNonExisting;1000;20,169;0,073;0
CAPSULE_TRIE_MAP;getNonExisting;10000;38,453;0,892;0
CAPSULE_TRIE_MAP;getNonExisting;100000;72,986;2,385;0
CAPSULE_TRIE_MAP;getNonExisting;1000000;156,47;1,743;0
CAPSULE_TRIE_MAP;getRandom;1;19,022;0,881;0
CAPSULE_TRIE_MAP;getRandom;4;15,378;0,585;0
CAPSULE_TRIE_MAP;getRandom;10;20,337;0,036;16
CAPSULE_TRIE_MAP;getRandom;15;22,42;0,211;16
CAPSULE_TRIE_MAP;getRandom;20;21,121;0,08;16
CAPSULE_TRIE_MAP;getRandom;25;23,837;1,797;16
CAPSULE_TRIE_MAP;getRandom;50;26,019;7,179;16
CAPSULE_TRIE_MAP;getRandom;100;26,113;0,144;16
CAPSULE_TRIE_MAP;getRandom;1000;38,995;0,688;16
CAPSULE_TRIE_MAP;getRandom;10000;61,275;0,485;16
CAPSULE_TRIE_MAP;getRandom;100000;86,511;3,961;16
CAPSULE_TRIE_MAP;getRandom;1000000;203,082;28,288;16
CAPSULE_TRIE_MAP;putAndGetCollision;1;58,049;0,297;80
CAPSULE_TRIE_MAP;putAndGetCollision;4;194,295;9,35;330
CAPSULE_TRIE_MAP;putAndGetCollision;10;214,863;1,028;382,4
CAPSULE_TRIE_MAP;putAndGetCollision;15;217,298;0,977;393,6
CAPSULE_TRIE_MAP;putAndGetCollision;20;200,393;0,962;378
CAPSULE_TRIE_MAP;putAndGetCollision;25;210,871;0,9;392,64
